x_id,occupancy_date,organization_name,shelter_name,shelter_address,shelter_city,shelter_province,shelter_postal_code,facility_name,program_name,sector,occupancy,capacity
54,01/01/2020,Fred Victor Centre,"Fred Victor, BUS",1161 Caledonia Road,Toronto,ON,M6A 2W9,Fred Victor BUS - 1161 Caledonia,Fred Victor - Bethlehem United Extreme Weather Program,Co-ed,9,10
55,01/01/2020,Fred Victor Centre,"Fred Victor, BUS",1161 Caledonia Road,Toronto,ON,M6A 2W9,Fred Victor BUS - 1161 Caledonia,Fred Victor Bethlehem United Program,Co-ed,60,60
59,01/01/2020,Homes First Society,HFS - Kennedy Shelter,702 Kennedy Rd,Toronto,ON,M1K 2B5,HFS - 702 Kennedy Shelter,Homes First Society- Kennedy Shelter Women's Program,Women,86,90
60,01/01/2020,Homes First Society,HFS - Savard's Womens' Shelter,1322 Bloor Street West,Toronto,ON,M6H 1P2,HFS - Savard's Womens' Shelter,Homes First Society - Savard's Womens' Shelter,Women,30,30
61,01/01/2020,Homes First Society,HFS - Scarborough Shelter,3576 St. Clair Avenue East,Scarborough,ON,M1K 1M2,HFS - 545 Lakeshore Blvd W.Women,545 Lakeshore Blvd. W. Women,Women,58,63
64,01/01/2020,Homes First Society,HFS - Scarborough Shelter,3576 St. Clair Avenue East,Scarborough,ON,M1K 1M2,HFS - Scarborough Shelter,Homes First Society - Scarborough Shelter,Co-ed,90,90
65,01/01/2020,Homes First Society,HFS - Scarborough Shelter,3576 St. Clair Avenue East,Scarborough,ON,M1K 1M2,HFS-545 Lakeshore Blvd W.Couple,545 Lakeshore Blvd. W.Couple,Co-ed,100,106
66,01/01/2020,Homes First Society,HFS - Strachan House,805A Wellington Street W,Toronto,ON,M5V 1G8,HFS - Strachan House,Homes First Society - Flex Program,Co-ed,4,5
67,01/01/2020,Homes First Society,HFS - Strachan House,805A Wellington Street W,Toronto,ON,M5V 1G8,HFS - Strachan House,Homes First Society - Strachan House,Co-ed,81,83
73,01/01/2020,Society of St.Vincent De Paul,SVDP - Amelie House,126 Pape Avenue,Toronto,ON,M4M 2V8,SVDP - Amelie House,St.Vincent De Paul - Amelie House - Women's Shelter,Women,22,22
74,01/01/2020,Society of St.Vincent De Paul,SVDP - Elisa House,60 Newcastle Street,Toronto,ON,M8Y 1A3,SVDP - Elisa House,St.Vincent De Paul - Elisa House,Women,39,40
75,01/01/2020,Society of St.Vincent De Paul,SVDP - Mary's Home,70 Gerrard St. E.,Toronto,ON,M5B 1G6,SVDP - Mary's Home,SVDP - Mary's Home Extreme Weather Program,Women,6,6
76,01/01/2020,Society of St.Vincent De Paul,SVDP - Mary's Home,70 Gerrard St. E.,Toronto,ON,M5B 1G6,SVDP - Mary's Home,St.Vincent De Paul - Mary's Home - Emergency Shelter,Women,38,38
77,01/01/2020,Society of St.Vincent De Paul,SVDP - St. Clare's Residence,3410 Bayview Avenue,Toronto,ON,M2M 3S3,SVDP - St. Clare's Residence,St.Vincent De Paul - St. Clare's Residence - Transitional Housing,Women,30,30
80,01/01/2020,Street Haven At The Crossroads,Street Haven,87 Pembroke St,Toronto,ON,M5A 2N9,Street Haven - 87 Pembroke St,Street Haven - Emergency Hostel,Women,46,46
81,01/01/2020,Street Haven At The Crossroads,Street Haven,87 Pembroke St,Toronto,ON,M5A 2N9,Street Haven - 87 Pembroke St,Street Haven: Extreme Weather Program,Women,4,4
82,01/01/2020,The MUC Shelter Corporation,Sojourn House,101 Ontario Street,Toronto,ON,M5A 2V2,Sojourn House,Sojourn House Transitional Housing Program,Families,84,76
83,01/01/2020,The MUC Shelter Corporation,Sojourn House,101 Ontario Street,Toronto,ON,M5A 2V2,Sojourn House(Singles),Sojourn House Bedded Program,Co-ed,94,94
84,01/01/2020,The MUC Shelter Corporation,Sojourn House,101 Ontario Street,Toronto,ON,M5A 2V2,Sojourn House-Grange (Family),Sojourn House - Refugee Family Hotel Program-Grange,Families,245,300
85,01/01/2020,The Salvation Army of Canada,Salvation Army - Evangeline Res,2808 Dundas St W,Toronto,ON,M6P 1Y5,S.A. Evangeline Residence,S.A. Evangeline - Emergency Weather,Women,9,9
86,01/01/2020,The Salvation Army of Canada,Salvation Army - Evangeline Res,2808 Dundas St W,Toronto,ON,M6P 1Y5,S.A. Evangeline Residence,S.A. Evangeline Residence - Women's Ministry,Women,94,94
87,01/01/2020,The Salvation Army of Canada,Salvation Army - Florence Booth,723 Queen Street West,Toronto,ON,M6J1E6,Florence Booth - 723 Queen St. W,Salvation Army - Florence Booth Extreme Weather Program,Women,4,4
88,01/01/2020,The Salvation Army of Canada,Salvation Army - Florence Booth,723 Queen Street West,Toronto,ON,M6J1E6,Florence Booth - 723 Queen St. W,Salvation Army - Florence Booth Womens Ministry,Women,60,60
96,01/01/2020,The Salvation Army of Canada,Salvation Army Islington Seniors,2671 Islington Avenue,Toronto,ON,M9V 2X6,2671 Islington Avenue-Sr.Female,Salvation Army - Islington Seniors' Shelter Women's Program,Women,17,17
97,01/02/2020,City of Toronto,Fort York Residence,38 Bathrust St,Toronto,ON,M5V 3W3,Fort York - Staybridge Suites,Fort York - Staybridge Suites,Co-ed,34,34
